segment_id,segment_name,date,total_attempts_on_date,daily_attempts,athlete_count
5741040,"Freewheel, trig to 4wd",2025-04-01,41030,0,3499
35457806,"Snail trail",2025-04-01,33382,0,2360
11559698,"Labyrinth 2016 - down",2025-04-01,21517,0,2461
5741040,"Freewheel, trig to 4wd",2025-04-01,41030,0,3499
35457806,"Snail trail",2025-04-01,33382,0,2360
11559698,"Labyrinth 2016 - down",2025-04-01,21517,0,2461
5741040,"Freewheel, trig to 4wd",2025-04-02,41047,17,3500
35457806,"Snail trail",2025-04-02,33388,6,2361
11559698,"Labyrinth 2016 - down",2025-04-02,21518,1,2462
5741040,"Freewheel, trig to 4wd",2025-04-02,41049,2,3500
35457806,"Snail trail",2025-04-02,33388,0,2361
11559698,"Labyrinth 2016 - down",2025-04-02,21518,0,2462
35512175,"Double Happy",2025-04-02,1351,0,377
3385864,"banker",2025-04-02,20166,0,3101
9230928,"Jungle Scout Up",2025-04-02,21512,0,3194
27751723,"Mohaka Meander south",2025-04-02,3106,0,502
27751719,"Mohaka Meander north",2025-04-02,2456,0,517
1752652,"491",2025-04-02,16380,0,2205
22616278,"Pavlova",2025-04-02,1560,0,435
3385865,"B-line Ext",2025-04-02,20909,0,2141
33496074,"Dig This",2025-04-02,922,0,327
11890472,"Te Whiti Riser",2025-04-02,12591,0,1373
1752667,"Nga Tuna",2025-04-02,20037,0,2462
17193656,"Second Star 2018",2025-04-02,5001,0,975
22324740,"Superplus Gracefield exit full",2025-04-02,10426,0,1328
22324737,"Lower Superplus to gracefield rd",2025-04-02,10330,0,1184
35587315,"Gingernuts and Towai Traverse",2025-04-02,2792,0,809
1752602,"Towai Traverse",2025-04-02,7519,0,994
2716897,"Towai Traverse Climb",2025-04-02,8155,0,1301
14931000,"Top of Te Whiti to Towai",2025-04-02,34614,0,3096
8760918,"Spoonhill + Scrims",2025-04-02,1602,0,430
5741040,"Freewheel, trig to 4wd",2025-04-02,41049,0,3500
35457806,"Snail trail",2025-04-02,33388,0,2361
11559698,"Labyrinth 2016 - down",2025-04-02,21518,0,2462
35512175,"Double Happy",2025-04-02,1351,0,377
3385864,"banker",2025-04-02,20166,0,3101
9230928,"Jungle Scout Up",2025-04-02,21512,0,3194
27751723,"Mohaka Meander south",2025-04-02,3106,0,502
27751719,"Mohaka Meander north",2025-04-02,2456,0,517
1752652,"491",2025-04-02,16380,0,2205
22616278,"Pavlova",2025-04-02,1560,0,435
3385865,"B-line Ext",2025-04-02,20909,0,2141
